bed_chr	bed_start	bed_end	id	len	size	gap_count	shift_count	hamming_ingroup_incl_gaps	hamming_outgroup_incl_gaps	hamming_in_out_incl_gaps	hamming_ingroup_excl_gaps	hamming_outgroup_excl_gaps	hamming_in_out_excl_gaps	table_browser	shift_count_rel	hamming_in_out_excl_gaps_scl	shift_count_rel_scl	norm2_scl	coding
chr1	70488886	70488936	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr1/chr1_50_acc_70488886_70488936.maf	50	63	13	15	0.0634920634920635	0.301587301587302	0.168358771345166	0.0634920634920635	0.301587301587302	0.168358771345166	chr1:70488886-70488936	0.238095238095238	0.437471085359771	0.556515679442509	0.707877568504055	TRUE
chr1	34428773	34428798	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_34428773_34428798.maf	25	41	16	9	0.024390243902439	0.24390243902439	0.155218563866343	0.024390243902439	0.24390243902439	0.155218563866343	chr1:34428773-34428798	0.219512195121951	0.402668546485107	0.512242712671029	0.651563162719473	TRUE
chr2	24128576	24128601	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr2/chr2_25_acc_24128576_24128601.maf	25	28	3	6	0	0.214285714285714	0.15152288578128	0	0.214285714285714	0.15152288578128	chr2:24128576-24128601	0.214285714285714	0.392880346380129	0.49979094076655	0.63572474471589	TRUE
chr1	23046529	23046554	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_23046529_23046554.maf	25	25	0	5	0.04	0.2	0.113137084397295	0.04	0.2	0.113137084397295	chr1:23046529-23046554	0.2	0.291213508390379	0.465756097560976	0.549303240372986	TRUE
chr1	49562968	49562993	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_49562968_49562993.maf	25	25	0	5	0.04	0.36	0.226274189868015	0.04	0.36	0.226274189868015	chr1:49562968-49562993	0.2	0.590863153775143	0.465756097560976	0.752361621100078	TRUE
chr1	70488911	70488936	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_70488911_70488936.maf	25	25	0	5	0.04	0.24	0.141421350228263	0.04	0.24	0.141421350228263	chr1:70488911-70488936	0.2	0.366125891829527	0.465756097560976	0.592433043544328	TRUE
chr3	16480426	16480451	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_16480426_16480451.maf	25	25	0	5	0	0.2	0.141421360764975	0	0.2	0.141421360764975	chr3:16480426-16480451	0.2	0.36612591973657	0.465756097560976	0.592433060790988	TRUE
chr3	46987029	46987054	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr3/chr3_25_acc_46987029_46987054.maf	25	25	0	5	0	0.24	0.169705626595943	0	0.24	0.169705626595943	chr3:46987029-46987054	0.2	0.441038303175718	0.465756097560976	0.641438638751475	TRUE
chr2	79702675	79702700	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr2/chr2_25_acc_79702675_79702700.maf	25	41	16	8	0.0731707317073171	0.268292682926829	0.137972073160524	0.0731707317073171	0.268292682926829	0.137972073160524	chr2:79702675-79702700	0.195121951219512	0.35699029793324	0.454134443783462	0.577650556867193	TRUE
chr2	15935294	15935344	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_15935294_15935344.maf	50	50	0	9	0.02	0.2	0.127279227849492	0.02	0.2	0.127279227849492	chr2:15935294-15935344	0.18	0.328669728016996	0.418107317073171	0.531824706745457	TRUE
chr1	107506597	107506622	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/25/chr1/chr1_25_acc_107506597_107506622.maf	25	28	3	5	0	0.178571428571429	0.126269073240519	0	0.178571428571429	0.126269073240519	chr1:107506597-107506622	0.178571428571429	0.325994279771232	0.414703832752613	0.527495534903634	TRUE
chr2	124315272	124315322	/home/rstudio/disco_tmp/data/scoring/acc_maf_ingroup/50/chr2/chr2_50_acc_124315272_124315322.maf	50	113	63	20	0.0176991150442478	0.221238938053097	0.14392438838389	0.0176991150442478	0.221238938053097	0.14392438838389	chr2:124315272-124315322	0.176991150442478	0.372755321604997	0.410938916468811	0.554812871924764	TRUE
